input,expected_output,expected_articles
"Was ist das Ziel des SEER-Modells, das auf SwAV basiert?","Das Ziel des SEER-Modells ist es, einen vortrainierten Encoder aus einem beliebigen zufälligen Bild und einem unbegrenzten Datensatz in freier Wildbahn zu lernen.",general_surveys/2302.09419v3.pdf
Wer sind die Autoren des Artikels 'X-FACTR: Multilingual factual knowledge retrieval from pretrained language models'?,"Zhengbao Jiang, Antonios Anastasopoulos, Jun Araki, Haibo Ding, und Graham Neubig.",general_surveys/3560815.pdf
Welche Beispiele für GenAI-Systeme werden im Text genannt?,"Einige gängige Beispiele für GenAI-Systeme sind Bildgeneratoren (Midjourney oder stabile Diffusion), Chatbots (ChatGPT, Bard, Palm), Codegeneratoren (CodeX, Co-Pilot), Audiogeneratoren (VALL-E), und Videogeneratoren (Gen-2).",general_surveys/682263.pdf
Welche Autoren haben an dem Papier 'Hungry hungry hippos: Towards language modeling with state space models' mitgewirkt?,"T. Dao, D. Y. Fu, K. K. Saab, A. W. Thomas, A. Rudra, und C. Ré",general_surveys/682263.pdf
Wer sind die Autoren des Papiers über mehrsprachige faktische Wissensabfrage aus vortrainierten Sprachmodellen im Jahr 2020?,"Zhengbao Jiang, Antonios Anastasopoulos, Jun Araki, Haibo Ding, und Graham Neubig.",general_surveys/3560815.pdf
"Wie viele Stunden wird Jerry insgesamt auf dem Spielfeld verbringen, um die Spiele und das Training seiner Töchter zu beobachten?","Jerry wird insgesamt 96 Stunden auf dem Spielfeld verbringen, um die Spiele und das Training seiner Töchter zu beobachten.",general_surveys/2501.09223v2.pdf
Welches Modell wird im Dokument 'general_surveys/2303.04226v1.pdf' beschrieben?,"Megatron-Turing NLG 530B, ein groß angelegtes generatives Sprachmodell.",general_surveys/2303.04226v1.pdf|general_surveys/2402.06196v3.pdf|general_surveys/2302.09419v3.pdf
"Welche Methode wird vorgeschlagen, um die Sicherheit von LLMs zu verbessern?","Red teaming wurde zur Verbesserung der Modellsicherheit von LLMs übernommen, indem gesammelte adversarielle Eingaben verwendet werden, um die LLMs zu verfeinern.",general_surveys/2303.18223v16.pdf
Welches Dokument beschreibt die technischen Details und die Bewertung von Jurassic-1?,"Das Dokument 'Jurassic-1: Technical details and evaluation' von O. Lieber, O. Sharir, B. Lenz und Y. Shoham, veröffentlicht als White Paper von AI21 Labs, vol. 1, 2021.",general_surveys/2303.18223v16.pdf
"Wie viel Geld hat Olivia noch übrig, nachdem sie fünf Bagels gekauft hat?","Olivia hat noch $8 übrig, nachdem sie fünf Bagels für jeweils $3 gekauft hat.",general_surveys/2303.18223v16.pdf
Was ist die Technik Automatic Multi-step Reasoning and Tool-use (ART)?,"Automatic Multi-step Reasoning and Tool-use (ART) ist eine Prompt-Engineering-Technik, die automatisiertes Chain-of-Thought-Prompting mit der Nutzung externer Tools kombiniert. Sie verbessert die Fähigkeit von großen Sprachmodellen (LLMs), komplexe Aufgaben zu bewältigen, die sowohl logisches Denken als auch die Interaktion mit externen Datenquellen oder Tools erfordern.",general_surveys/2402.06196v3.pdf
Wie kann man Mem und Memknn in das Aufmerksamkeitsmodell integrieren?,"Man könnte sie einfach kombinieren, um einen einzigen KV-Cache [Mem,Memknn] zu bilden, und qi über standardmäßige QKV-Aufmerksamkeit auf [Mem,Memknn] richten. Oder man könnte Mem und Memknn in separaten Aufmerksamkeitschritten verwenden.",general_surveys/2501.09223v2.pdf
Was ist das Ziel von MI in Bezug auf LLMs?,"Das Ziel von MI ist es, die erlernten Verhaltensweisen eines LLMs in ihre einzelnen Komponenten zu reverse-engineeren, d.h. einen Prozess zu finden und zu verstehen, der menschlich interpretierbare Neuronen identifiziert.",general_surveys/2307.10169v1.pdf
"Wer sind die Autoren des Papiers 'Scaling language models: Methods, analysis & insights from training gopher'?","J. W. Rae, S. Borgeaud, T. Cai, K. Millican, J. Hoffmann, F. Song, J. Aslanides, S. Henderson, R. Ring, S. Young, et al.",general_surveys/2303.04226v1.pdf
Welche Ansätze gibt es zur Auswahl von Demonstrationen für ICL?,Es gibt zwei Hauptansätze zur Auswahl von Demonstrationen: heuristische Ansätze und LLM-basierte Ansätze.,general_surveys/2303.18223v16.pdf
Was ist der Unterschied zwischen Top-k Sampling und Top-p Sampling?,"Top-k Sampling wählt die nächsten Token aus einem festen Kandidatenpool basierend auf den höchsten Vorhersagewahrscheinlichkeiten aus, während Top-p Sampling die nächsten Token aus dem kleinsten Satz von Token auswählt, die zusammen eine kumulative Wahrscheinlichkeit höher als ein vordefinierter Schwellenwert p haben.",general_surveys/2501.09223v2.pdf
Welche Methode wird zur automatischen Bewertung von maschineller Übersetzung in der Quelle [148] beschrieben?,Bleu: eine Methode zur automatischen Bewertung von maschineller Übersetzung.,general_surveys/2402.06196v3.pdf
Wer ist der CEO der European Tourism Organisation laut dem Text?,Tom Jenkins,general_surveys/2501.09223v2.pdf
Welche Parameter werden beim Fine-Tuning verwendet?,"Beim Fine-Tuning werden die vortrainierten Parameter ˆθ verwendet, die mit ˆθ+ notiert sind.",general_surveys/2501.09223v2.pdf
Wer sind die Autoren des Artikels über 'Selfcheck-gpt'?,"Die Autoren sind P. Manakul, A. Liusie und M. J. F. Gales.",general_surveys/2303.18223v16.pdf
