,text,ref_doc_id
0,"Bundeswehr
Erster Appell für die Heimatschutzdivision
Stand: 14.03.2025 15:59 Uhr
Kritische Infrastruktur schützen und Waldbrände löschen: Die neu organisierte Heimatschutzdivision der Bundeswehr soll im Inland zum Einsatz kommen - und ein Zeichen der Entschlossenheit senden.
Die Bundeswehr hat eine neue Division für den Heimatschutz in Deutschland aufgestellt. Die Soldaten der Heimatschutzdivision - zunächst insgesamt etwa 6.000 Männer und Frauen - sollen kritische Infrastruktur schützen, einen Truppenaufmarsch Verbündeter absichern und Amtshilfe bei Katastrophen leisten können. Sie werden ausschließlich innerhalb Deutschlands eingesetzt.
Der Inspekteur des Heeres, Generalleutnant Alfons Mais, vollzog den Schritt bei einem Appell in der Julius-Leber-Kaserne in Berlin. Die Division ist der vierte Großverband des Heeres.
""Jetzt ist die Zeit für eine Haltung der Entschlossenheit, der Wehrhaftigkeit, der Verantwortung"", sagte Altbundespräsident Joachim Gauck bei der Indienststellung des neuen Großverbandes. ""Und diese Haltung muss aus der Mitte der Gesellschaft kommen und von ihr gestützt werden.""
Heimatschutz soll wegen Sicherheitslage gestärkt werden
Wegen der veränderten Sicherheitslage nach dem russischen Angriff auf die Ukraine hat der Heimatschutz mehr Bedeutung bekommen und soll verstärkt werden.
Die Heimatschutzkräfte wurden bisher von den Landeskommandos der 16 Bundesländer geführt. Bisher bestehen fünf Heimatschutzregimenter als Teil der neuen Division. Zum 1. April wird ein sechstes Heimatschutzregiment in Sachsen-Anhalt aufgestellt, wie eine Sprecherin des Verteidigungsministeriums sagte.
""Der Begriff Heimatschutz beschreibt den Schutz und die Verteidigung des eigenen Staatsgebiets.",2025-03-14/inland/article_5.md
1,"Heimatschutz soll wegen Sicherheitslage gestärkt werden
Wegen der veränderten Sicherheitslage nach dem russischen Angriff auf die Ukraine hat der Heimatschutz mehr Bedeutung bekommen und soll verstärkt werden.
Die Heimatschutzkräfte wurden bisher von den Landeskommandos der 16 Bundesländer geführt. Bisher bestehen fünf Heimatschutzregimenter als Teil der neuen Division. Zum 1. April wird ein sechstes Heimatschutzregiment in Sachsen-Anhalt aufgestellt, wie eine Sprecherin des Verteidigungsministeriums sagte.
""Der Begriff Heimatschutz beschreibt den Schutz und die Verteidigung des eigenen Staatsgebiets. Dabei geht es nicht nur um militärische Bedrohungen, sondern auch um Unterstützung in Krisensituationen, etwa bei Naturkatastrophen, großflächigen Stromausfällen oder Pandemien"", schreibt die Bundeswehr dazu. Die Bundeswehr übernehme im Heimatschutz eine unterstützende Rolle für zivile Behörden, wenn deren Ressourcen an ihre Grenzen stoßen.
Hilfe bei Hochwasser oder Waldbränden
""Gerade in den vergangenen Jahren hat sich gezeigt, dass ein stark aufgestellter Heimatschutz für die Resilienz Deutschlands essenziell ist"", schreibt die Bundeswehr weiter. ""Ob bei Hochwasser, Waldbränden oder in der Corona-Pandemie - die Bundeswehr hat stets schnelle und effektive Hilfe geleistet. Mit der neuen Division Heimatschutz wird diese Fähigkeit nun systematisch ausgebaut.""
Der Aufstellungsappell der neuen Division sei ""ein wichtiges Signal für den Schutz unserer Heimat"", sagte der stellvertretende Generalinspekteur, Generalleutnant Andreas Hoppe, in der Kaserne. ""Er fällt in eine Zeit, in der dieser Schutz von allem, was uns lieb und teuer ist, besonders zählt. In der es wichtig ist, für diesen Schutz, für unsere Sicherheit, die richtigen Weichen zu stellen.""",2025-03-14/inland/article_5.md
2,"""Ob bei Hochwasser, Waldbränden oder in der Corona-Pandemie - die Bundeswehr hat stets schnelle und effektive Hilfe geleistet. Mit der neuen Division Heimatschutz wird diese Fähigkeit nun systematisch ausgebaut.""
Der Aufstellungsappell der neuen Division sei ""ein wichtiges Signal für den Schutz unserer Heimat"", sagte der stellvertretende Generalinspekteur, Generalleutnant Andreas Hoppe, in der Kaserne. ""Er fällt in eine Zeit, in der dieser Schutz von allem, was uns lieb und teuer ist, besonders zählt. In der es wichtig ist, für diesen Schutz, für unsere Sicherheit, die richtigen Weichen zu stellen.""
""Mentalitätswandel jetzt""
Gauck kritisierte den lange zögerlich angelaufenen Aufbau von neuen Verteidigungskapazitäten sowie Grundannahmen der deutschen Außen- und Sicherheitspolitik, die zu lange ""fehlerbehaftet"" gewesen seien. Er forderte: ""Mentalitätswandel jetzt"".
Selbst noch nach der russischen Annexion der Krim 2014 habe die deutsche Politik an dem ""Bemühen um partnerschaftliche Beziehungen mit einem immer aggressiver auftretenden Russland festgehalten"". Gauck ergänzte: ""Heute sehen wir, dass wir damit einer verführerischen Illusion gefolgt sind"". Die Wehrpflicht sei ausgesetzt, Reserven aufgelöst und Fähigkeiten abgebaut worden.",2025-03-14/inland/article_5.md
3,"Bundestagswahl 2025
Ergebnis der Bundestagswahl
Mehr Stimmen für das BSW - aber nicht genug
Stand: 14.03.2025 13:22 Uhr
Das endgültige Ergebnis der Bundestagswahl steht fest. Gut 4.200 Stimmen mehr bekam das BSW vom Bundeswahlausschuss zugeschrieben. Für den Einzug in den Bundestag reichte es trotzdem nicht - rund 9.500 Stimmen fehlten.
Der Bundeswahlausschuss hat das endgültige Ergebnis der Bundestagswahl 2025 bekannt gegeben. Insgesamt seien 7.425 abgegebene Stimmen mehr als gültig gewertet worden, erklärte Bundeswahlleiterin Ruth Brand. Das Bündnis Sahra Wagenknecht blieb trotz Stimmenzuwachs unter der Fünf-Prozent-Hürde und zieht nicht in den Bundestag ein.
Mit 4,98 Prozent scheiterte das BSW knapp - nur rund 9.500 Stimmen fehlen der Partei rechnerisch für den Einzug. Nach dem vorläufigen Ergebnis waren es noch rund 13.000. Das endgültige Ergebnis schrieb dem BSW nun weitere 4.277 gültige Zweitstimmen zu.
Ein Einzug des BSW in den Bundestag war nicht nur für die Partei von Sahra Wagenknecht eine Zitterpartie. Hätte sie den Sprung ins Parlament geschafft, hätte es für CDU/CSU und SPD nicht für eine Mehrheit der 630 Sitze gereicht. Das BSW war am Donnerstag mit dem Versuch gescheitert, per Eilanträgen beim Bundesverfassungsgericht eine komplette Neuauszählung der Wahl zu beantragen.
Keine Veränderung der Sitzverteilung
Auch bei anderen Parteien gab es Änderungen bei der absoluten Zahl der Zweitstimmen: Bei der CDU kamen beispielsweise 1.674 Stimmen dazu, bei der SPD 840 und bei der AfD 1.632. Dagegen wurden der FDP 121 Stimmen abgezogen.",2025-03-14/inland/article_14.md
4,"Hätte sie den Sprung ins Parlament geschafft, hätte es für CDU/CSU und SPD nicht für eine Mehrheit der 630 Sitze gereicht. Das BSW war am Donnerstag mit dem Versuch gescheitert, per Eilanträgen beim Bundesverfassungsgericht eine komplette Neuauszählung der Wahl zu beantragen.
Keine Veränderung der Sitzverteilung
Auch bei anderen Parteien gab es Änderungen bei der absoluten Zahl der Zweitstimmen: Bei der CDU kamen beispielsweise 1.674 Stimmen dazu, bei der SPD 840 und bei der AfD 1.632. Dagegen wurden der FDP 121 Stimmen abgezogen.
An der Sitzverteilung und den Zweitstimmenanteilen der übrigen Parteien hat sich gegenüber dem vorläufigen Ergebnis nichts geändert.
So kam die CDU/CSU auf 28,5 Prozent, die AfD auf 20,8 und die SPD auf 16,4 Prozent. Die Grünen erzielten 11,6 und die Linke 8,8 Prozent. Die FDP flog mit 4,3 Prozent aus dem Bundestag. In Sitzen bedeutet dies: CDU/CSU 208, AfD 152, SPD 120, Grüne 85 und Linke 64. Einen Abgeordneten stellt der SSW, die Partei der dänischen Minderheit in Schleswig-Holstein, für die die Fünf-Prozent-Hürde nicht gilt.
Die Veränderungen seien vor allem die Folge von Berichtigungen der vorläufigen Zweitstimmergebnisse in Niedersachsen (plus 3.271), Bayern (plus 932) und Baden-Württemberg (plus 912), wie Bundeswahlleiterin Brand sagte.
Drei Strafanzeigen wegen doppelter Stimmabgabe
Es habe bei der Wahl kleinere Mängel gegeben, berichtete Brand. So seien im Wahlkreis Trier in Rheinland-Pfalz von der Druckerei auch Stimmzettel für Berlin-Pankow ausgeliefert worden.",2025-03-14/inland/article_14.md
5,"Einen Abgeordneten stellt der SSW, die Partei der dänischen Minderheit in Schleswig-Holstein, für die die Fünf-Prozent-Hürde nicht gilt.
Die Veränderungen seien vor allem die Folge von Berichtigungen der vorläufigen Zweitstimmergebnisse in Niedersachsen (plus 3.271), Bayern (plus 932) und Baden-Württemberg (plus 912), wie Bundeswahlleiterin Brand sagte.
Drei Strafanzeigen wegen doppelter Stimmabgabe
Es habe bei der Wahl kleinere Mängel gegeben, berichtete Brand. So seien im Wahlkreis Trier in Rheinland-Pfalz von der Druckerei auch Stimmzettel für Berlin-Pankow ausgeliefert worden. 15 Bürger hätten damit auch ihre Stimme abgegeben. Diese Stimmzettel seien für ungültig erklärt worden.
In mehreren Bundesländern seien in einzelnen Fällen Wahlunterlagen versehentlich doppelt verschickt worden. Dort seien sofort Maßnahmen ergriffen worden, um eine doppelte Stimmabgabe auszuschließen.
In drei Fällen sei es zu doppelter Stimmabgabe gekommen - und deshalb sogar jeweils Strafanzeige erstattet worden, so Brand. Im thüringischen Wahlkreis Eichsfeld-Nordhausen-Kyffhäuserkreis habe im Wahllokal eine Person den Wahlvorstand abgelenkt, sodass sich eine andere einen zweiten Stimmzettel nehmen konnte und schließlich zwei Stimmzettel abgegeben habe.
Auch in Hamburg-Wandsbek und im sächsischen Wahlkreis Erzgebirgskreis I seien Wähler zweimal gekommen und hätten es geschafft, doppelt zu wählen.",2025-03-14/inland/article_14.md
6,"Finanzpaket
Worauf sich Union, SPD und Grüne geeinigt haben
Stand: 14.03.2025 17:20 Uhr
Nach langen Verhandlungen mit Union und SPD haben die Grünen dem milliardenschweren Paket für Verteidigung und Infrastruktur zugestimmt. Was sieht die Einigung vor - und wie geht es jetzt in Bundestag und Bundesrat weiter? Ein Überblick.
Was sieht die Einigung vor?
Union, SPD und Grüne haben sich nach eigenen Aussagen auf diese Punkte geeinigt:
Warum war eine Einigung mit den Grünen so wichtig?
Für die Umsetzung des Finanzpakets und die damit verbundene Lockerung der Schuldenbremse muss das Grundgesetz geändert werden. Dafür sind in Bundestag und Bundesrat Zweidrittelmehrheiten erforderlich. Union und SPD wollten für das Vorhaben die Mehrheitsverhältnisse im noch amtierenden Bundestag nutzen. Dort kann - anders als im neu gewählten Bundestag - eine Zweidrittelmehrheit gemäß Artikel 79 Absatz 2 des Grundgesetzes mit den Stimmen von Union, SPD und Grünen erreicht werden. Im neuen Bundestag hätten AfD und Linke eine Sperrminorität von mehr als einem Drittel der Stimmen bei derlei Entscheidungen.
Union und SPD verweisen bei ihrem Vorgehen auf die sogenannte Eilbedürftigkeit: Aufgrund der völlig veränderten geopolitischen Lage mit der Bedrohung aus Russland und einem als unberechenbar geltenden US-Präsidenten Donald Trump sei besondere Eile bei den Entscheidungen geboten.
Nicht zuletzt hängt auch das schwarz-rote Regierungsvorhaben an dieser Einigung: Wären Union, SPD und Grüne gescheitert, hätte Schwarz-Rot zumindest die Grundlage ihrer bisherigen Einigungen verloren. Ohne das zusätzliche Geld wären viele Vorhaben nicht finanzierbar oder es wären massive Kürzungen in anderen Bereichen im Haushalt nötig.",2025-03-14/inland/article_1.md
7,"Union und SPD verweisen bei ihrem Vorgehen auf die sogenannte Eilbedürftigkeit: Aufgrund der völlig veränderten geopolitischen Lage mit der Bedrohung aus Russland und einem als unberechenbar geltenden US-Präsidenten Donald Trump sei besondere Eile bei den Entscheidungen geboten.
Nicht zuletzt hängt auch das schwarz-rote Regierungsvorhaben an dieser Einigung: Wären Union, SPD und Grüne gescheitert, hätte Schwarz-Rot zumindest die Grundlage ihrer bisherigen Einigungen verloren. Ohne das zusätzliche Geld wären viele Vorhaben nicht finanzierbar oder es wären massive Kürzungen in anderen Bereichen im Haushalt nötig. Ob die SPD unter diesen Voraussetzungen noch bereit gewesen wäre, mit der Union zu regieren, war ungewiss.
Wie geht es jetzt im Bundestag weiter?
Zunächst wird sich am Sonntag der Haushaltsausschuss mit dem Finanzpaket beschäftigen und eine Beschlussempfehlung für den Bundestag abgeben. Am Dienstag kommt der Bundestag dann erneut zusammen. Merz rechnet fest damit, dass die nötige Zweidrittelmehrheit zustande kommt - auch wenn einige der Abgeordneten dem neuen Bundestag nicht mehr angehören werden und sich an die übliche Fraktionsdisziplin nicht mehr so gebunden fühlen könnten.
Jede Fraktion müsse dafür sorgen, dass die Abgeordneten auch erscheinen, betonte Merz. ""Ich gehe fest davon aus, dass wir eine volle Präsenz haben werden"", sagte er mit Blick auf die Union. Union, SPD und Grüne hätte zusammen 31 Abgeordnete mehr, als für die Zweidrittelmehrheit erforderlich sei. ""Von daher haben wir auch ein bisschen - wenn Sie so wollen - Puffer für Krankheitsfälle.""
Dröge sagte, eine Probeabstimmung in der Grünen-Fraktion habe es noch nicht gegeben. Aber man habe sehr viele positive Rückmeldungen der Abgeordneten zu dem Verhandlungsergebnis bekommen.",2025-03-14/inland/article_1.md
8,"Jede Fraktion müsse dafür sorgen, dass die Abgeordneten auch erscheinen, betonte Merz. ""Ich gehe fest davon aus, dass wir eine volle Präsenz haben werden"", sagte er mit Blick auf die Union. Union, SPD und Grüne hätte zusammen 31 Abgeordnete mehr, als für die Zweidrittelmehrheit erforderlich sei. ""Von daher haben wir auch ein bisschen - wenn Sie so wollen - Puffer für Krankheitsfälle.""
Dröge sagte, eine Probeabstimmung in der Grünen-Fraktion habe es noch nicht gegeben. Aber man habe sehr viele positive Rückmeldungen der Abgeordneten zu dem Verhandlungsergebnis bekommen.
Und wie sehen die Mehrheitsverhältnisse im Bundesrat aus?
Die Abstimmung im Bundesrat ist für kommenden Freitag geplant. Hier ist eine Zweidrittelmehrheit nicht sicher. Einige Bundesländer fordern, dass die Länder mehr als die geplanten 100 Milliarden vom Infrastruktur-Topf abbekommen.
Bundesländer mit Linken, FDP oder BSW in der Regierung können wohl ohnehin nicht zustimmen, weil ihre Regierungsparteien keine einheitliche Linie finden. Sie müssten sich enthalten. Auch die Freien Wähler in Bayern sind bisher nicht überzeugt.
Woher kommt das Geld?
Der Staat besorgt sich das Geld, indem er Anleihen auf dem Kapitalmarkt ausgibt. Mit dem Kauf einer Staatsanleihe leiht ein Anleger dem Staat Geld und bekommt dafür Zinsen. Auf lange Sicht muss der Kredit zwar getilgt werden - anders als bei Privatleuten kann man das aber weit in die Zukunft verschieben. So lange muss der Staat aus seinen Haushalten Zinsen zahlen.
Bisher hat Deutschland bei den Ratingagenturen eine Top-Bonität. Das heißt, der Staat kann sich Geld zu sehr guten Zinssätzen leihen. Experten sehen dieses Rating auch bei einer größeren Verschuldung eher nicht in Gefahr.",2025-03-14/inland/article_1.md
9,"Sie müssten sich enthalten. Auch die Freien Wähler in Bayern sind bisher nicht überzeugt.
Woher kommt das Geld?
Der Staat besorgt sich das Geld, indem er Anleihen auf dem Kapitalmarkt ausgibt. Mit dem Kauf einer Staatsanleihe leiht ein Anleger dem Staat Geld und bekommt dafür Zinsen. Auf lange Sicht muss der Kredit zwar getilgt werden - anders als bei Privatleuten kann man das aber weit in die Zukunft verschieben. So lange muss der Staat aus seinen Haushalten Zinsen zahlen.
Bisher hat Deutschland bei den Ratingagenturen eine Top-Bonität. Das heißt, der Staat kann sich Geld zu sehr guten Zinssätzen leihen. Experten sehen dieses Rating auch bei einer größeren Verschuldung eher nicht in Gefahr. Selbst mit einer Schuldenquote von 82 Prozent in der Finanzkrise 2010 konnte Deutschland sein AAA-Rating halten. Ob das diesmal gelingt, wird auch davon abhängen, wie viel Vertrauen die Agenturen in die Wirtschaftskraft des Landes setzen.",2025-03-14/inland/article_1.md
